"hhID","familysize","house_size"
1001,4,350
1002,4,400
1003,3,350
1004,4,420
1005,4,1025
1006,3,150
1007,4,700
1008,4,300
1009,3,320
1010,4,600
1011,4,300
1012,3,500
1013,4,400
1014,3,680
1015,3,490
1016,2,400
1017,4,400
1018,4,700
1019,3,200
1020,3,300
1021,5,660
1022,4,750
1023,5,300
1024,8,1152
1025,3,600
1026,3,680
1027,5,300
1028,3,1000
1029,3,350
1030,4,600
1031,2,200
1032,4,300
1033,5,600
1034,4,300
1035,6,300
1036,4,400
1037,5,900
1038,3,700
1039,4,550
1040,4,782
1041,4,1000
1042,4,600
1043,5,500
1044,3,400
1045,3,519
1046,4,100
1047,4,1100
1048,4,400
1049,3,544
1050,5,518
1051,6,1700
1052,3,700
1053,2,300
1054,3,350
1055,2,500
1056,4,808
1057,4,350
1058,2,550
1059,4,350
1060,4,400
1061,4,400
1062,5,400
1063,2,350
1064,4,900
1065,2,150
1066,3,469
1067,5,639
1068,3,486
1069,4,750
1070,5,852
1071,5,700
1072,4,500
1073,4,700
1074,3,700
1075,3,800
1076,5,450
1077,3,500
1078,2,325
1079,3,500
1080,3,300
1081,5,500
1082,3,NA
1083,4,600
1084,6,700
1085,4,600
1086,4,700
1087,5,400
1088,4,540
1089,2,200
1090,5,450
1091,4,400
1092,5,500
1093,4,350
1094,2,NA
1095,4,350
1096,3,500
1097,2,400
1098,4,1000
1099,6,700
1100,4,580
1101,5,550
1102,4,600
1103,4,300
1104,3,550
1105,3,800
1106,4,550
1107,3,230
1108,5,600
1109,3,500
1110,3,200
1111,6,700
1112,6,700
1113,3,300
1114,4,300
1115,3,700
1116,4,800
1117,3,200
1118,3,500
1119,3,500
1120,5,300
1121,6,750
1122,4,500
1123,4,397
1124,3,270
1125,3,530
1126,3,800
1127,5,400
1128,3,300
1129,2,300
1130,3,500
1131,3,200
1132,4,350
1133,4,400
1134,4,280
1135,4,400
1136,4,680
1137,5,500
1138,5,1127
1139,7,700
1140,4,350
1141,3,800
1142,4,580
1143,2,297
1144,4,250
1145,3,250
1146,4,300
1147,4,400
1148,4,450
1149,3,600
1150,4,300
1151,3,600
1152,4,400
1153,5,500
1154,3,350
1155,5,460
1156,3,450
1157,4,530
1158,3,500
1159,3,500
1160,3,200
1161,6,400
1162,3,300
1163,4,450
1164,4,470
1165,6,800
1166,4,350
1167,3,500
1168,4,450
1169,3,500
1170,3,400
1171,4,400
1172,4,500
1173,4,500
1174,4,300
1175,5,500
1176,4,300
1177,3,350
1178,4,400
1179,5,680
1180,3,180
1181,2,250
1182,5,580
1183,4,400
1184,4,410
1185,3,600
1186,3,248
1187,4,420
1188,3,800
1189,5,400
1190,3,400
1191,6,520
1192,5,600
1193,3,300
1194,3,610
1195,3,300
1196,4,400
1197,4,450
1198,4,350
1199,5,600
1200,5,800
1201,5,500
1202,4,400
1203,2,600
1204,4,300
1205,4,600
1206,4,700
1207,4,300
1208,4,500
1209,4,400
1210,3,700
1211,5,250
1212,4,NA
1213,5,460
1214,4,300
1215,5,550
1216,3,500
1217,4,700
1218,4,400
1219,3,600
1220,4,450
1221,3,300
1222,3,800
1223,6,650
1224,3,500
1225,3,700
1226,4,700
1227,3,529
1228,4,700
1229,4,NA
1230,4,600
1231,4,300
1232,2,170
1233,4,500
1234,3,150
1235,4,570
1236,3,800
1237,3,670
1238,3,700
1239,2,700
1240,3,400
1241,5,650
1242,4,350
1243,4,600
1244,4,500
1245,4,450
1246,4,600
1247,5,700
1248,5,560
1249,4,200
1250,4,300
1251,3,200
1252,3,400
1253,2,80
1254,2,200
1255,3,150
1256,6,450
1257,5,380
1258,5,300
1259,4,660
1260,4,600
1261,2,300
1262,4,300
1263,3,500
1264,2,300
1265,5,340
1266,3,480
1267,4,350
1268,3,900
1269,2,250
1270,4,850
1271,5,1200
1272,4,400
1273,2,300
1274,4,500
1275,3,350
1276,5,680
1277,4,450
1278,4,720
1279,3,323
1280,2,160
1281,2,180
1282,3,700
1283,4,951
1284,3,306
1285,4,400
1286,5,320
1287,4,600
1288,5,450
1289,5,350
1290,5,300
1291,3,200
1292,4,450
1293,3,300
1294,3,200
1295,5,450
1296,5,450
1297,3,350
1298,2,150
1299,3,550
1300,4,400
1301,3,638
1302,2,800
1303,4,400
1304,3,783
1305,2,600
1306,3,580
1307,4,450
1308,2,400
1309,4,400
1310,2,230
1311,2,190
1312,4,300
1313,3,200
1314,4,300
1315,3,230
1316,5,650
1317,4,300
1318,4,410
1319,4,400
1320,4,220
1321,4,800
1322,4,450
1323,4,250
1324,4,600
1325,5,900
1326,4,550
1327,3,400
1328,4,400
1329,4,500
1330,4,300
1331,5,579
1332,3,400
1333,3,400
1334,2,NA
1335,3,700
1336,5,400
1337,4,480
1338,3,400
1339,4,270
1340,5,400
1341,5,500
1342,3,400
1343,3,1500
1344,4,400
1345,2,300
1346,4,700
1347,4,500
1348,3,350
1349,3,400
1350,5,500
1351,3,700
1352,5,450
1353,3,400
1354,2,350
1355,3,200
1356,6,579
1357,6,340
1358,3,700
1359,3,400
1360,6,400
1361,5,380
1362,2,400
1363,3,675
1364,4,600
1365,3,600
1366,3,328
1367,4,400
1368,3,300
1369,3,700
1370,3,300
1371,3,400
1372,4,450
1373,5,450
1374,3,350
1375,3,NA
1376,5,600
1377,4,500
1378,4,900
1379,3,605
1380,3,350
1381,3,500
1382,3,500
1383,4,900
1384,4,400
1385,3,324
1386,3,400
1387,4,500
1388,5,659
1389,4,650
1390,3,200
1391,4,300
1392,4,400
1393,4,500
1394,3,300
1395,4,350
1396,4,666
1397,4,400
1398,5,480
1399,2,300
1400,3,300
1401,4,700
1402,3,1200
1403,2,300
1404,4,400
1405,4,474
1406,3,450
1407,4,350
1408,2,300
1409,4,550
1410,4,660
1411,3,280
1412,2,450
1413,8,700
1414,4,700
1415,3,350
1416,7,500
1417,4,450
1418,5,950
1419,3,250
1420,4,400
1421,3,800
1422,2,250
1423,3,300
1424,2,150
1425,5,450
1426,2,200
1427,4,350
1428,4,344
1429,4,300
1430,3,420
1431,3,800
1432,4,500
1433,4,350
1434,6,900
1435,4,570
1436,5,610
1437,7,782
1438,3,350
1439,4,250
1440,4,500
1441,3,350
1442,3,250
1443,5,400
1444,3,250
1445,3,300
1446,3,400
1447,2,320
1448,3,400
1449,3,400
1450,4,400
1451,4,700
1452,3,300
1453,4,400
1454,3,400
1455,3,350
1456,3,400
1457,4,200
1458,3,400
1459,3,500
1460,4,900
1461,2,500
1462,5,500
1463,4,300
1464,5,500
1465,4,300
1466,6,550
1467,6,900
1468,3,820
1469,4,500
1470,5,646
1471,3,300
1472,4,940
1473,4,200
1474,4,470
1475,4,500
1476,3,400
1477,2,200
1478,3,350
1479,4,230
1480,4,300
1481,3,350
1482,3,550
1483,5,400
1484,3,330
1485,4,280
1486,4,400
1487,6,350
1488,2,550
1489,3,400
1490,4,600
1491,4,500
1492,3,450
1493,3,400
1494,2,250
1495,5,200
1496,2,700
1497,5,600
1498,4,340
1499,3,350
1500,4,400
1501,3,250
1502,4,550
1503,2,300
1504,3,699
1505,3,709
1506,2,200
1507,2,400
1508,4,650
1509,3,340
1510,5,400
1511,5,430
1512,5,400
1513,4,550
1514,4,350
1515,3,100
1516,2,650
1517,5,650
1518,3,200
1519,3,700
1520,4,500
1521,3,300
1522,3,350
1523,5,450
1524,4,500
1525,4,650
1526,3,350
1527,4,450
1528,3,350
1529,4,400
1530,3,400
1531,3,531
1532,4,600
1533,4,350
1534,2,300
1535,4,300
1536,5,813
1537,5,400
1538,6,1200
1539,5,915
1540,4,1300
1541,3,600
1542,4,400
2501,5,900
2502,3,550
2503,4,430
2504,4,820
2505,3,460
2506,4,400
2507,5,800
2508,4,931
2509,4,500
2510,4,250
2511,5,460
2512,5,400
2513,4,350
2514,5,717
2515,3,450
2516,4,750
2517,4,500
2518,3,650
2519,4,500
2520,2,588
2521,2,180
2522,4,500
2523,2,300
2524,4,400
2525,4,800
2526,6,580
2527,3,600
2528,5,700
2529,5,400
2530,3,300
2531,3,500
2532,5,1200
2533,6,700
2534,4,680
2535,6,700
2536,2,400
2537,3,650
2538,4,717
2539,5,800
2540,3,400
2541,3,400
2542,4,400
2543,3,250
2544,2,2000
2545,4,550
2546,2,340
2547,4,570
2548,2,680
2549,4,694
2550,4,500
2551,4,980
2552,4,600
2553,4,587
2554,3,330
2555,4,700
2556,3,550
2557,3,650
2558,4,880
2559,6,850
2560,3,375
2561,4,700
2562,3,430
2563,5,350
2564,4,180
2565,4,350
2566,3,510
2567,4,600
2568,3,450
2569,3,400
2570,4,500
2571,4,500
2572,6,500
2573,5,2000
2574,4,400
2575,5,600
2576,4,500
2577,3,560
2578,2,300
2579,4,400
2580,3,300
2581,4,400
2582,4,750
2583,2,200
2584,3,300
2585,4,400
2586,4,712
2587,4,500
2588,3,650
2589,4,900
2590,6,900
2591,6,600
2592,5,2500
2593,4,450
2594,3,500
2595,3,700
2596,7,700
2597,4,400
2598,4,480
2599,5,570
2600,3,700
2601,3,350
2602,2,600
2603,3,700
2604,4,700
2605,4,900
2606,3,500
2607,3,400
2608,4,914
2609,4,500
2610,3,500
2611,4,600
2612,4,NA
2613,3,500
2614,2,50
2615,5,600
2616,4,200
2617,5,800
2618,2,800
2619,4,600
2620,4,400
2621,3,700
2622,3,700
2623,5,300
2624,3,1300
2625,4,800
2626,4,450
2627,4,300
2628,6,750
2629,5,600
2630,4,670
2631,4,600
2632,6,1000
2633,4,350
2634,6,800
2635,4,680
2636,3,400
2637,5,550
2638,5,600
2639,4,500
2640,5,600
2641,5,500
2642,5,700
2643,3,650
2644,5,800
2645,4,400
2646,4,700
2647,4,750
2648,2,300
2649,4,500
2650,5,700
2651,5,700
2652,5,500
2653,4,400
2654,5,100
2655,6,250
2656,4,800
2657,6,700
2658,4,300
2659,3,300
2660,4,750
2661,4,400
2662,3,600
2663,8,480
2664,4,500
2665,4,350
2666,5,800
2667,3,300
2668,5,600
2669,6,850
2670,3,400
2671,4,1300
2672,4,700
2673,3,518
2674,5,888
2675,3,400
2676,5,400
2677,3,690
2678,4,600
2679,3,400
2680,3,450
2681,4,600
2682,5,1000
2683,3,400
2684,3,400
2685,5,780
2686,4,500
2687,3,700
2688,5,850
2689,4,470
2690,5,1089
2691,3,300
2692,5,600
2693,5,1000
2694,2,200
2695,5,700
2696,4,500
2697,4,1000
2698,5,1200
2699,3,400
2700,5,500
2701,3,500
2702,5,379
2703,4,300
2704,4,520
2705,3,518
2706,4,400
2707,4,500
2708,3,400
2709,6,500
2710,3,950
2711,4,600
2712,4,600
2713,5,500
2714,4,500
2715,3,700
2716,3,550
2717,3,920
2718,4,400
2719,2,320
2720,4,900
2721,3,550
2722,4,650
2723,4,850
2724,5,700
2725,5,757
2726,3,400
2727,4,825
2728,4,900
2729,6,300
2730,5,550
2731,6,700
2732,4,700
2733,3,350
2734,4,450
2735,5,600
2736,6,780
2737,4,400
2738,4,500
2739,3,666
2740,4,420
2741,3,550
2742,4,850
2743,4,698
2744,3,800
2745,4,500
2746,3,300
2747,4,600
2748,7,1900
2749,4,450
2750,4,900
2751,3,430
2752,4,850
2753,3,600
2754,3,400
